"","Rhizobiaceae","Pseudomonadaceae","Burkholderiaceae","(Order)Hyphomicrobiales","Mycobacteriaceae","Pseudonocardiaceae","Paenibacillaceae","Clostridiaceae","Hymenobacteraceae","Comamonadaceae","Corynebacteriaceae","Micrococcaceae","Streptomycetaceae","Phyllobacteriaceae","Rhodobacteraceae","Vibrionaceae","Acetobacteraceae","Streptococcaceae","Aeromonadaceae","Microbacteriaceae","Actinomycetaceae","Sphingomonadaceae","Sphingobacteriaceae","Peptococcaceae","Flavobacteriaceae","Bifidobacteriaceae","Bradyrhizobiaceae","Bacteroidaceae","Oscillospiraceae","Nocardiaceae","Cytophagaceae","Bacillaceae","Lachnospiraceae","Cystobacterineae","Lactobacillaceae","Geobacteraceae","Roseobacteraceae","Porphyromonadaceae","Caulobacteraceae","Staphylococcaceae","(Order)Bacillales","Alcaligenaceae","Xanthomonadaceae","(Order)Burkholderiales","Treponemataceae","Chlorobiaceae","Chitinophagaceae","Enterobacteriaceae","Oxalobacteraceae","Weeksellaceae","Atopobiaceae","Eubacteriaceae","Prevotellaceae","Nocardioidaceae","Halomonadaceae","Desulfovibrionaceae","Enterococcaceae","Peptostreptococcaceae","Chromobacteriaceae","(Class)Alphaproteobacteria","Erythrobacteraceae","Barnesiellaceae","Erysipelotrichaceae","(Class)Gammaproteobacteria","Dysgonomonadaceae","Eggerthellaceae","(Order)Eubacteriales","Tannerellaceae","Turicibacteraceae","(Phylum)Firmicutes","(Phylum)Proteobacteria","Rikenellaceae","(Class)Actinomycetia","Muribaculaceae","(Order)Bacteroidales","Odoribacteraceae","(Unclassified)Bacteria","Akkermansiaceae","(Phylum)Bacteroidetes","(Class)Bacilli","xCD28","xCD57","xIL7","xTIM3","xPD1","xTLR2","xTLR4","xReg3g","xSerumIL6"
"Tannerellaceae",0,0,0,0,0,0,-0.822631767196253,-0.860167025890679,0.973825669855638,0,0,0,-0.902310105952819,0,0,0,0,0,0,0,0,0.812554926138358,0.849069159230715,-0.827668970195854,0,0,0,0,-0.86107856160214,0,0.84431503400936,0,-0.839332532036216,0,0,0,0,0.956859567096703,0,0,0,0,0,0,0,0,0.918045326128944,0,0,0,0,-0.823643567067691,0.988395420497326,0,0,0,-0.849634764618931,0,0,0,0.844159662605086,0.977070743196658,0,0,0.956764296362548,0,-0.854634664149734,1,0,0,0,0,0,0.988693420779371,0.996369133109076,0.960266306680352,0,0,0.973222214449302,0,0,0,0,0,0,0,0,0,0
"Turicibacteraceae",0,0,0,0,0,-0.876367276496008,-0.946641594161677,-0.931547770515201,0.887649276256989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.93473182167649,0,0.885200932186036,0.939015255389992,0,-0.959751676458817,0.855869353112698,0.928416084819935,-0.881885102724355,-0.936492405831134,0,0.951249560837169,0,0,0.906761045472581,0,0,-0.859875832783457,0,0,0,-0.953166385548678,0,0.933536192181583,0,0,0,-0.886470881879253,-0.941781880242286,0.859841966221597,0,0,-0.813683920702807,-0.925409368538678,-0.924748758516001,0,0,0,0.896488800750728,0,0,0,0,-0.954788759587827,0,1,-0.930509624604058,0,0,0,0.849195968509536,0,0.849935022718638,0,0,0.892095146713705,0,0,0,0,0,0,0,0,0,0
"(Phylum)Firmicutes",0,0,0,0,0,0,0.995424789074101,0.991179342259205,-0.879802952703609,0,0,0,0,0,0,0.899359985924185,0.846051805717442,0,0,0,0,0,0,0.998050351102491,0,-0.853003416009992,-0.961495633126356,0,0.984277259272003,0,0,0.988919656320281,0.997342650828666,0,-0.880341197824557,0.848629504854201,0,-0.84206327579385,0,0.826924068022231,0.977374326618419,0,0,0,0.977070895083442,0,-0.852561510276535,0.826609706734017,0,0,0.919778557067545,0.996845104592857,-0.830295580495173,0,0,0.847565694525858,0.995348172644766,0.99897886114028,0,0,0,-0.83601809378319,0,0,0,0,0.991575552175941,0,-0.930509624604058,1,0,0,0,0,0,0,0,0,-0.823955084081763,0,0,0,0.828206783184343,0,0,0.839441507141209,0,0,0
"(Phylum)Proteobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905832897022556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971729237476226,0,0,0,0,0,0.812628234751773,0,0,0,0,0,0,0.8605648441294,0,0,0,0,0,0,0,0.898574133602032,0.909512177818248,0,0,0,0,0,0,1,0,0,0,0,0,0.933797470493582,0,0,0.844400741960226,0,0,0,0,0,0,0,0,0
"Rikenellaceae",-0.871786475029286,0,0,0,0,0,0,0,0,0,-0.938784045015507,0,0,0,0,-0.843965024800825,-0.952155881645183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.819416205367834,0,0,0,-0.894057434345471,-0.819641918853479,0,0,-0.98772470391505,-0.838463395417295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.847839687844044,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.886830318298217,0,0,0,0,0,0,0,0
"(Class)Actinomycetia",0.899601149857905,0,0,0,0,0,0,0,0,0,0.813893416127284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824612088094931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muribaculaceae",0,0,0,0,0,0,-0.825411583266011,-0.853199326864522,0.983236285690068,0,0,0,-0.855077732890784,0,0,0,0,0,0,0,0,0.847380046826243,0.90690690153392,-0.827356715689072,0,0,0,0,-0.87586026311828,0,0.900202029348975,0,-0.840757154079421,0,0,0,0,0.979522886834364,0,0,0,0,0,0,0,0,0.962101349539011,0,0,0,0,-0.828368156614118,0.992817554879202,0,0,0,-0.844532882477998,0,0,0,0,0.993836625643663,0,0,0.953184754724935,0,-0.863497105733322,0.988693420779371,0.849195968509536,0,0,0,0,1,0.980406067229771,0.978832537938752,0,0,0.986100861278958,0,0,0,0,0,0,0,0,0,0
"(Order)Bacteroidales",0,0,0,0,0,0,0,-0.83898604426439,0.9657249809803,0,0,0,-0.894433002401704,0,0,0,0,0,0,0,0,0,0.838802580316812,0,0,0,0,0,-0.83976389785951,0,0.811680394536829,0,-0.819457378801601,0,0,0,0,0.937750281461764,0,0,0,0,0,0,0,0,0.899137890881279,0,0,0,0,0,0.978475645023707,0,0,0,-0.831223146721219,0,0,0,0.84917518042816,0.960450364654008,0,0,0.974267172298652,0,-0.832703285802571,0.996369133109076,0,0,0,0,0,0.980406067229771,1,0.939434609055246,0,0,0.952700156262502,0,0,0,0,0,0,0,0,0,0
"Odoribacteraceae",0,0,0,0,0,0,0,0,0.949392763787636,0,0,0,0,0,0,0,0,0,0,0,0,0.885468207947906,0.905769680412427,0,0,0,0,0,-0.82529858272204,0,0.929968030088912,0,0,0,0,0,0,0.980334206814779,0,0,0,0,0,0,0,0,0.941103606173479,0,0,0.833036445199255,0,0,0.977044786824022,0,0,0,0,0,0,0,0,0.985210987429147,0,0,0.882570728844586,0.832928347253979,-0.81426444244182,0.960266306680352,0.849935022718638,0,0,0,0,0.978832537938752,0.939434609055246,1,0,0,0.99188006351661,0,0,0,0,0,0,0,0,0,0
"(Unclassified)Bacteria",0.849539599967689,0,0,0,0,0,0,0,0,0,0.812354939334999,0,0,0,0,0,0.858647593255585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.838957811731398,0,0,0,0,0,0,0,0,0.86599876273689,0.8369591618628,0,0,0,0,0,0.962418184818059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95340888310635,0,0,0,0,0,0,0.933797470493582,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
